Article Title ,Abstract,Review,Review Type
HFSA: hybrid feature selection approach to improve medical diagnostic system,"Thanks to the presence of artificial intelligence methods, the diagnosis of patients can be done quickly and accurately. This article introduces a new diagnostic system (DS) that includes three main layers called the rejection layer (RL), selection layer (SL), and diagnostic layer (DL) to accurately diagnose cases suffering from various diseases. In RL, outliers can be removed using the genetic algorithm (GA). At the same time, the best features can be selected by using a new feature selection method called the hybrid feature selection approach (HFSA) in SL. In the next step, the filtered data is passed to the naive Bayes (NB) classifier in DL to give accurate diagnoses. In this work, the main contribution is represented in introducing HFSA as a new selection approach that is composed of two main stages; fast stage (FS) and accurate stage (AS). In FS, chi-square, as a filtering methodology, is applied to quickly select the best features while Hybrid Optimization Algorithm (HOA), as a wrapper methodology, is applied in AS to accurately select features. It is concluded that HFSA is better than other selection methods based on experimental results because HFSA can enable three different classifiers called NB, K-nearest neighbors (KNN), and artificial neural network (ANN) to provide the maximum accuracy, precision, and recall values and the minimum error value. Additionally, experimental results proved that DS, including GA as an outlier rejection method, HFSA as feature selection, and NB as diagnostic mode, outperformed other diagnosis models.","Basic reporting
This paper introduces an advanced Diagnostic System (DS) leveraging Artificial Intelligence (AI) techniques for precise and efficient medical diagnostics. The proposed system incorporates a novel Hybrid Feature Selection Approach (HFSA) that combines filter-based and wrapper-based methodologies to optimize feature selection and enhance the performance of the Naive Bayes (NB) classifier. Through its multi-layered structure—Rejection Layer (RL), Selection Layer (SL), and Diagnostic Layer (DL)—the system demonstrates significant improvements in diagnostic accuracy, precision, and recall. The revision should focus on enhancing the scientific rigor of the methodology, clarifying certain ambiguous details, and strengthening the experimental validation.

a. The novelty and computational feasibility of combining Genetic Algorithm (GA) with the Tiki-Taka Algorithm (T²A) in the Accurate Stage (AS) of HFSA should be elaborated. Include an analysis of why this hybrid optimization is superior to existing methods for feature selection in medical diagnostics.

b. Clarify the choice of chi-square as the filter methodology in the Fast Stage (FS). Provide a justification of its suitability compared to other statistical methods, particularly in handling high-dimensional medical datasets.

c. Expand the explanation of the Rejection Layer (RL) to include details about how GA identifies and removes outliers. Specify whether the definition of outliers is domain-specific or generalized across datasets.

d. Incorporate a thorough evaluation of HFSA against state-of-the-art feature selection approaches. Compare their computational complexity, runtime efficiency, and diagnostic performance to substantiate the claim that HFSA outperforms existing methods.

e. The experimental setup requires more details, including dataset characteristics, parameter configurations, and cross-validation techniques used. This ensures reproducibility and provides transparency for performance metrics such as accuracy, precision, recall, and error rates.

f. The integration of the NB classifier within the Diagnostic Layer (DL) should be critically assessed. Discuss the trade-offs in using NB versus more advanced classifiers like Support Vector Machines (SVM) or ensemble methods in the context of medical diagnostics.

g. Add a detailed discussion of potential limitations of the proposed system. For example, how sensitive is HFSA to changes in data distribution, class imbalance, or noisy features in real-world medical datasets?

h. The paper should include a future research direction section that addresses the scalability of the proposed system, particularly when dealing with rapidly growing datasets or integrating multi-modal medical data (e.g., text, images, and numerical records).

The Literature citation is not adequate, and the related work to machine learning should be discussed:
1. Robust semi-supervised multi-label feature selection based on shared subspace and manifold learning
2. Sparse feature selection using hypergraph Laplacian-based semi-supervised discriminant analysis
3. Nonnegative Matrix Factorization in Dimensionality Reduction: A Survey

Experimental design
not

Validity of the findings
not",Authentic
Numerical dispersed flow simulation of fire-flake particle dynamics and its learning representation,"In this article, we propose methods for simulating the detailed flow of dispersed fire-flake particles in response to the movement of a flame, using chaotic advection and various buoyant flow techniques. Furthermore, we utilize these techniques to gather a synthetic dataset of detailed fire-flake particles and extend the solver to represent the movement of fire-flake particles based on learning-based approaches. Fire-flake particles not only exhibit unique and complex movements on their own, but they are also significantly influenced by the movement of the flame and the surrounding airflow. Modeling the flow of fire-flake particles realistically is challenging due to their chaotic and constantly changing nature. Instead of explicitly modeling the complex fire-flake particles in the flame based on fluid mechanics, this article efficiently approximates the chaotic motion of fire-flake particles using two approaches: 1) chaotic advection to simulate the flow and 2) controlled buoyant flow, which varies based on the temperature and lifespan of the fire-flake particles. Additionally, we collect a fire-flake dataset through this simulation and extends the solver to learn the representation of fire-flake motion using neural networks. During the advection process of fire-flake particles, a new stochastic solver is used to calculate the subgrid interactions between them. In this article, not only we propose algorithms that can express these techniques through numerical simulation, but we also extend this solver using artificial intelligence techniques to enable learning representation. By using the proposed technique, it is possible to efficiently simulate fire-flake particles with various movements in chaotic regions, and it allows for more detailed representation of fire-flake particles compared to existing methods. Unlike the typical random walk approach that adds noise randomly to the movement, our method considers the size and direction of the flame. This allows us to express fire-flake particles stably in most scenes without the need for parameter adjustments.","Basic reporting
The paper is well-written and easy to follow. However, it would benefit from more emphasis on the rationale behind the development of the proposed method. While the paper thoroughly explains ""what"" was done, the reasoning behind the specific design choices remains unclear. Further clarification on this would strengthen the work. See below for additional details.

Experimental design
To summarize the contribution, the paper adapts the method from Kim et al. (2010), originally designed for simulating small bubbles in water, and applies it to simulate fire flakes using a relatively simple fire model from Nguyen et al. (2002). This contribution seems somewhat minimal, especially considering the length of the paper.

The authors make several claims about why the motion of fire flakes is fundamentally different from that of bubbles:
50: ""On the other hand, fire-flake particles, being lighter than air and significantly influenced by air resistance, exhibit relatively more chaotic and disorderly movement.""
135: ""Most existing methods have focused on representing bubbles in water, and there has been relatively less research specifically dedicated to modeling fire-flake particles represented by flames.""
253: ""unlike air bubbles in water, near the flame, there are turbulent interactions between fuel and air that give rise to chaotic movements.""
447: ""Unlike air bubbles, fire-flake particles exhibit highly dynamic movements in chaotic regions.""
However, these assertions are not supported by evidence (citations would be helpful), and yet, they still proceed to apply an existing bubble simulation technique to model fire flakes, which appears contradictory.

Additionally, the paper proposes training a neural network to learn the emission, trajectories, and lifespan of fire flakes. However, the training uses synthetic data generated by the paper's own simulation method, which raises the question of why an already established model is being ""re-learned.""

Validity of the findings
The main result of the paper shows that the proposed method generates more break-up in the motion of fire flake particles compared to previous methods that did not incorporate chaotic advection. While this outcome is expected, it is also unsurprising and aligns with the findings of Kim et al. (2010), who achieved something similar with bubbles.

The machine learning (ML) aspect of the paper is intriguing, but as noted earlier, its purpose remains unclear. The approach essentially re-learns an already established model (which, not surprisingly, yields similar results), and the paper does not demonstrate any performance benefits of using an ML technique over traditional simulation methods.

Additional comments
All of the simulations in the paper are conducted in 2D, and there is no supplemental video provided, making it difficult to evaluate the quality of the results.

Overall, I would consider the paper's contribution to be quite limited. It seems premature for publication and would require significant revisions.",Authentic
FLASC: a flare-sensitive clustering algorithm,"Exploratory data analysis workflows often use clustering algorithms to find groups of similar data points. The shape of these clusters can provide meaningful information about the data. For example, a Y-shaped cluster might represent an evolving process with two distinct outcomes. This article presents flare-sensitive clustering (FLASC), an algorithm that detects branches within clusters to identify such shape-based subgroups. FLASC builds upon HDBSCAN*—a state-of-the-art density-based clustering algorithm—and detects branches in a post-processing step using within-cluster connectivity. Two algorithm variants are presented, which trade computational cost for noise robustness. We show that both variants scale similarly to HDBSCAN* regarding computational cost and provide similar outputs across repeated runs. In addition, we demonstrate the benefit of branch detection on two real-world data sets. Our implementation is included in the hdbscan Python package and available as a standalone package at https://github.com/vda-lab/pyflasc.","Basic reporting
No comment
Experimental design
1. Why was the FLASC algorithm compared with the K-means algorithm, if it is known by the clustering community that this algorithm does not detect groups of irregular figures? I think that being very popular is not a good argument for the comparison.
2. What are the values of the parameters used by the DBSCAN* algorithm.
3. How was the optimal number of groups determined in the K-means algorithm?
4. It is recommended to compare the proposed algorithm with an OPTICS algorithm.
5. Could you explain and give arguments for the “Evaluation and settings” sections of all the cases presented.
6. Could you explain what is written in lines 402-405, why K=5, min cluster size Mc = 100…..
7. How was the efficiency of the clusters obtained by the three algorithms measured?
Validity of the findings
No comment",Authentic
Dynamic prediction of carbon prices based on the multi-frequency combined model,"As a central participant and important leader in the global climate governance system, China is facing the urgent need to predict and regulate the price of carbon emissions to promote the sound development of its carbon market. In this article, a rolling prediction model based on Least Absolute Shrinkage and Selection Operator-cheetah optimization algorithm-extreme gradient boosting (Lasso-COA-XGBoost) carbon price decomposition integration is proposed to address the defects of low prediction accuracy and insufficient model stability of a single machine learning model in the carbon price prediction problem. During the modeling process, the adaptive Lasso method is first employed to select factors from 15 primary indicators of carbon prices, identifying the most important influencing factors. Next, the COA-XGBoost model is built and the parameters of the XGBoost model are optimized using the COA algorithm. Finally, the complete ensemble empirical Mode Decomposition with adaptive noise (CEEMDAM) method is utilized to decompose the residual sequence of the COA-XGBoost model and reconstruct it into high-frequency and low-frequency components. Appropriate frequency models are applied to achieve error correction, thereby constructing the combined Lasso-COA-XGBoost-CEEMDAN model. To further enhance the predictive accuracy and practicality of the model, a rolling time window is introduced for forecasting in the Hubei and Guangzhou carbon emission trading markets, ensuring that the forecasting model can adapt to market changes in real-time. The experimental results show that, taking the carbon price prediction in Hubei as an example, the proposed hybrid model has a significant improvement in prediction accuracy compared with the comparison model (XGBoost model): the RMSE is improved by 99.9987%, the MAE is improved by 99.9039%, the MAPE is improved by 99.9960%, and the R2 is improved by 0.2004%, and the advantages of this hybrid model are also verified in other experiments. The results provide an effective experimental method for future carbon price prediction.","Basic reporting
The topic is interesting and with possible applicability. However, I have some comments and suggestions which could greatly improve the manuscripts quality and these are:
1- The authors should highlight why COA is selected despite here are several other metaheuristic methods were available
2- Environmental setting used to implement the COA, and other machine learning should be added
3- Some new works using and applicable studies should be added.
4- What is the advantage over established techniques.
5- Conclusion is very weak. It should summarize the research, mention the best scores achieved, mention limitations and finally provide clear directions for the future research in this domain

Experimental design
Environmental setting used to implement the COA, and other machine learning should be added

Validity of the findings
The results are good

Additional comments
N/A",Authentic
A genetic programming-based ensemble method for long-term electricity demand forecasting,"This study introduces a novel genetic programming-based ensemble method for forecasting long-term electricity consumption in Ethiopia. The technique utilizes a two-stage ensemble approach to project Ethiopia’s electricity consumption through 2031. In the initial stage, genetic algorithms, particle swarm optimization, and simulated annealing methods are applied to various regression models (linear, quadratic, and exponential). The preliminary forecast values generated in this stage were further refined in the second stage. Here, the genetic programming method was utilized to develop a formula based on the initial forecast values, which then provided the final forecast results. The most accurate predictions in the first stage were obtained using the GA_Quadratic, PSO_Quadratic, and SA_Quadratic methods, resulting in mean absolute percentage error (MAPE) values of 3.61, 3.63, and 4.68, respectively. In the second stage, the GP-based prediction achieved an even lower MAPE value of 2.83. Other error metrics, including MSE, root mean square error (RMSE), and R2, were also evaluated, with the proposed model outperforming all methods from the first stage on these metrics. The study projected Ethiopia’s total annual electricity consumption through 2031 under two different scenarios. Both scenarios indicate that by 2031, electricity consumption will have tripled compared to 2021 levels.","Basic reporting
The manuscript presents a genetic programming-based ensemble method for forecasting Ethiopia's long-term electricity consumption. Overall, the reporting quality is satisfactory with appropriate improvements made based on previous reviewer feedback.

Strengths:

-The manuscript is written in clear, professional English with appropriate technical language.
-The literature review adequately establishes the importance of electricity demand forecasting for Ethiopia and situates the work within existing research.
-The authors have effectively highlighted the knowledge gap in applying optimization methods to Ethiopia's energy forecasting.
-The article structure follows standard scientific presentation with clear sections for methodology, results, and discussion.
-Figures and tables are well-presented, with improvements made as requested by previous reviewers (e.g., consistent y-axis scales in Figure 3).
-The research questions have been added to the introduction as requested.
-The manuscript is self-contained and presents a complete body of work without unnecessary subdivision.

Areas for improvement:

-While many citations are provided, some additional references on recent ensemble forecasting methods could further strengthen the background.
-The authors could more explicitly state which table contains the raw data used in their analysis for better transparency.

Experimental design
The experimental design is sound and has been improved with the addition of statistical tests and synthetic data validation as requested by previous reviewers.

Strengths:

-The research question is clearly defined with two fundamental questions now added to the introduction.
-The methodology is rigorous, using a two-stage ensemble approach with multiple optimization algorithms.
-The authors have added explanations for hyperparameter selection through extensive trial-and-error processes.
-The use of synthetic data to address the small dataset limitation (16 instances) demonstrates good research practice.
-The addition of Wilcoxon signed-rank test provides statistical validation of model performance differences.
-The methods are described with sufficient detail to allow replication by other researchers.

Areas for improvement:

-While the authors now mention testing with synthetic data, more details on the specific Gaussian Copula-based method used to generate this data would be helpful.
-The rationale for specific algorithm selection (GA, PSO, SA, GP) has been addressed, but could be further strengthened with justification from performance benchmarks in similar domains.

Validity of the findings
The manuscript presents valid findings with appropriate limitations now acknowledged.

Strengths:

-The data analysis is sound and the results are clearly presented.
-The authors now explicitly address the small dataset size limitation (16 instances) and its potential impact on generalization ability.
-Test data validation using synthetic data strengthens the robustness of the findings.
-Error metrics (MSE, RMSE, R², MAPE) are appropriate for evaluating the model performance.
-Statistical tests have been added to validate performance differences between models.
-The conclusions are appropriately connected to the original research questions.
-The authors have revised overstated conclusions to better reflect the methodological approach and limitations.

Areas for improvement:

-While the synthetic data testing is a positive addition, the authors could provide more details on how well the model performs on completely new, unseen data patterns.
-The discussion on quadratic models' superior performance could further explore theoretical explanations beyond empirical results.

Additional comments
This manuscript makes a valuable contribution to the field of electricity demand forecasting for Ethiopia. The authors have been responsive to previous reviewer feedback and have substantially improved their work accordingly.

Particularly commendable aspects include:

-The clear separation of Results and Discussion sections as requested by reviewers.
-The addition of statistical tests to validate model performance differences.
-The use of synthetic data to address the small dataset limitation.
-More tempered conclusions that acknowledge the limitations of the study.
-The detailed explanation of hyperparameter selection.

The authors' GP-based ensemble approach demonstrates promising results for improving forecast accuracy. The model's ability to project Ethiopia's electricity consumption up to 2031 under two different scenarios provides valuable insights for energy planning and policy-making.

Future research might benefit from:

-Expanding the dataset with additional historical data or more input variables.
-Exploring other ensemble techniques beyond GP.
-Developing methods to better handle rapid changes in economic factors affecting electricity consumption.

Overall, the manuscript represents a solid contribution to the field and, with the improvements made in response to reviewer feedback, is suitable for publication.",Authentic
Feature selection using a multi-strategy improved parrot optimization algorithm in software defect prediction,"Software defect detection is a critical research topic in the field of software engineering, aiming to identify potential defects during the development process to improve software quality and reduce maintenance costs. This study proposes a novel feature selection and defect prediction classification algorithm based on a multi-strategy enhanced Parrot Optimization (PO) algorithm. Firstly, to address the limitations of the original Parrot Optimization algorithm, such as strong dependence on the initial population, premature convergence, and insufficient global search capability, this article develops a multi-strategy enhanced Parrot Optimization algorithm (MEPO). Experiments conducted on eight benchmark test functions validate the superior performance of MEPO in terms of convergence speed and solution accuracy. Secondly, to mitigate the adverse impact of irrelevant features on model performance in traditional software defect prediction methods, this study introduces a binary multi-strategy enhanced Parrot Optimization algorithm (BMEPO) for optimizing feature selection. Comparative experiments demonstrate that BMEPO exhibits stronger competitiveness in feature selection quality and classification performance compared to advanced feature selection algorithms. Finally, to further enhance the classification performance of defect prediction, a heterogeneous data stacking ensemble learning algorithm (HEDSE) based on feature selection is proposed. Experimental evaluations on 16 open-source software defect datasets indicate that the proposed HEDSE outperforms existing methods, providing a novel and effective solution for software defect prediction. The proposed approaches in this study hold significant practical value, particularly in improving software quality, optimizing testing resource allocation, and reducing maintenance costs, offering broad potential for application in real-world software engineering scenarios.","Basic reporting
The paper is well written and relatively easy to follow. The quality of English is satisfactory. Figures are of adequate quality and the data set is supplied.

Experimental design
The research question is formulated well. The authors propose a novel model for defect prediction and compare it to some of the existing ones.

Validity of the findings
There are several issues with this paper as it appears that the authors are trying to add a lot of content while not clearly reporting all the necessary details. Firstly, it is not clear how the MEPO and PO differ when it comes to computational efficiency. Some results regarding this should be given. Secondly, BMEPO, the purposed algorithm at the center of the stated contributions, is never clearly defined in the paper. The authors need to clarify all the metrics used during evaluation.",Authentic
A rapid method for methanol quantification in spirits using UV-visible spectroscopy and FTIR,"Although standards methods of food safety assessment are important, these methods are relatively expensive and require intensive work and time. In alcohol beverage industries, ultraviolet visible (UV-Vis) spectroscopy and Fourier transform infrared (FTIR) spectroscopy are reliable techniques for quality assessment of alcohol, however, testing methods are often varying with calibration techniques and instrument specification. In this work, methanol content in ethanol was assessed in two approaches using UV-Vis with a developed calibration technique and FTIR spectroscopy with a factory default scan function at every 2 nanometer (nm). For UV-Vis method, potassium dichromate was used as the chromogenic reagent, tested with methanol concentration ranging from 0.12% to 1% (mV−1). For FTIR method, spectra data was collected every 2 nm interval and calibration curve was built by increasing methanol ratio from 0% to 40% (mV−1) at the expense of ethanol while keeping deionised (DO) water constant at 5% (mV−1) concentration. This helps gauge the change in methanol concentration relative to ethanol. Results of analysis using UV-Vis showed a strong negative correlation for methanol concentration and absorbance value at UV region from 900 to 1,100 cm−1 (r = 98.00, RMSE = 0.023) relative to increasing ethanol concentration. A strong peak was observed for methanol concentration at spectral region of 975 cm−1 which is related to the methanoic acid C-O bond. The FTIR spectra region at 900 to 1,050 cm−1 was used for observing methanol concentration with absorbance. A strong correlation was established from spectral region of 1,010 to 1,026 cm−1, enabling quantification of methanol (r = 0.99, RMSEC = 0.55). Methanol peak was observed at 1,020 cm−1 region of the spectrum. A set of experimental repetition was made with methanol concentration of 0.02% to 0.5% and 0.1% to 5% for UV-Vis and FTIR, respectively, to determine the limit of detection (LOD) and limit of quantification (LOQ). The observation showed a 0.04% and 0.29% (mV−1) LOD for UV-Vis and FTIR method, respectively. The LOQ was 0.12% and 0.89% (mV−1) for UV-Vis and FTIR respectively. The integration of UV-Vis with potassium dichromate as chromogenic reagent and FTIR spectroscopy with comparatively 50% less data point still present a significant advancement in the test method for safety and quality control of alcohol beverage products. These techniques not only enhance the ability to detect harmful substances but also provide a cost-effective and rapid alternative to traditional methods, making them invaluable tools for distilleries aiming to uphold high standards of quality.","Basic reporting
1. This manuscript should be submitted to a professional research paper writing service to improve its language quality and address any linguistic inaccuracies.
Examples:
I. The term ""ultraviolet-visible spectrometry"" is abbreviated as both ""UV Vis"" and ""UV VIS"" in various sections. To enhance clarity for readers, it is recommended to adhere to ISO standards and maintain a consistent abbreviation throughout the article.
II. There are capitalization errors in the text, such as in line 31 where ""Methanol"" is capitalized in the middle of a sentence. Chemical names should not be capitalized unless they appear at the beginning of a sentence.
",Authentic
Authentication of Jarrah (Eucalyptus marginata) honey through its nectar signature and assessment of its typical physicochemical characteristics,"Jarrah (Eucalyptus marginata) is a dominant forest tree endemic to the southwest of Western Australia. Its honey is appreciated for its highly desirable taste, golden colour, slow crystallisation, and high levels of bioactivity, which have placed Jarrah in the premium product range. However, whilst customers are willing to pay a high price for this natural product, there is currently no standard method for its authentication. As honey is naturally sourced from flower nectar, a novel route of authentication is to identify the nectar signature within the honey. This study reports on a high-performance thin layer chromatography (HPTLC)-based authentication system which allows the tracing of six key marker compounds present in Jarrah flower nectar and Jarrah honey. Four of these markers have been confirmed to be epigallocatechin, lumichrome, taxifolin and o-anisic acid with two (Rf 0.22 and 0.41) still chemically unidentified. To assist with the characterisation of Jarrah honey, a range of physicochemical tests following Codex Alimentarius guidelines were carried out. A blend of authenticated Jarrah honey samples was used to define the properties of this honey type. The blend was found to have a pH of 4.95, an electric conductivity of 1.31 mS/cm and a moisture content of 16.8%. Its water-insoluble content was 0.04%, its free acidity 19 milli-equivalents acid/kg and its diastase content 13.2 (DN). It also contains fructose (42.5%), glucose (20.8%), maltose (1.9%) and sucrose (<0.5%). The HPTLC-based authentication system proposed in this study has been demonstrated to be a useful tool for identifying Jarrah honey and might also act as a template for the authentication of other honey types.","Basic reporting
English is ok.
Literature is sufficiently sampled.
The structure of the article is ok.

Experimental design
The experimental design is not complete.
- A first question is concerning the evaluation of authentic Jarrah honey and nectar from other geographical origins (whenever possible). How the authors evaluated this point?
- Additionally, did the authors evaluated mixtures of honey from WA and Jarrah to evaluate the LOD of the approach for detecting mixtures/dilutions practices? Eventually other non-WA honeys.
- In the present work the authors evaluated different HPTLC bands attributed to co-flowering, therefore blended samples. How is the allowed limit of blends for a pure Jarrah honey?
- Which are the values of reproducibility and accuracy of the rf values of bands for the proposed HPTLC approach?
- How many replicates have been considered in this study?

Validity of the findings
The novelty is not present.
The approach includes an HPTLC analysis combined with physicochemical characterizations. The authors also stated that this authentication approach allows, for the first time, the characterization of physicochemical characteristics of this honey. The present manuscript is an extension of a previous work from the same group, in which the same approach was applied to a restricted samples set of Jarrah honey (https://doi.org/10.1016/j.crfs.2022.02.014), while 31 were considered here.

Additional comments
The proposed approach resulted fruitful in determining compositional differences, typically in botanical assessments, or in the profiling of polyphenols compositions etc.. In fact the authors already published compositional differences between Manuka and Jarrah honeys in their recent work (https://doi.org/10.7717/peerj.12186). The main result of these investigations is concerning a qualitative evaluation of HPTLC bands, whereas the quantitative evaluation (e.g. saccharides content) could be achieved by other methods. The authentication process needs more accurate determinations.",Authentic
Baltic Sea shipwrecks as a source of hazardous pollution,"Shipwrecks on the Baltic Sea seabed pose a serious threat to the marine environment. Fuel, ammunition and chemicals in their holds can enter the ecosystem at any time, causing an ecological disaster. It is known that oil spills from ship accidents can affect life and health of different species of animals, both immediately after catastrophe and for many years thereafter. This article discusses the negative impact of shipwrecks on the ecological status of the Baltic Sea and presents the contamination status of bottom sediment core samples taken in the vicinity of shipwrecks located in the South Baltic, i.e., S/s Stuttgart, t/s Franken, S/T Burgmeister Petersen and m/s Sleipner. It is based on the results of research carried out by the Maritime Institute between 2011 and 2016.","Dear Authors,
Reviewers have evaluated your manuscript. it is recommended that you revise the manuscript to polish the draft to a standard that is acceptable in a journal with international audience. In addition to this, please consider the following additional EDITOR comments:

1. The abstract needs to be carefully revised following the journal guidelines found in the template at https://peerj.com/about/author-instructions/chemistry. Specifically, you need to properly introduce the study background (problem), present the methods used and the key findings (results).

2. Some of the literature cited are too old. For example, Andrulewicz et al. (1994, 1998), (HELCOM, 1974), and (Jeffery, 1990). Although some of these may be important in this study, such literature rarely present the current status of knowledge and should only be cited in exceptional cases. There is very recent relevant literature in this area.

https://doi.org/10.3390/w14223772
https://doi.org/10.1016/j.marpolbul.2021.112747
https://doi.org/10.1016/j.marenvres.2020.105036
https://doi.org/10.1016/j.marpolbul.2022.114426

3. The introduction needs to be rewritten altogether so that it does not merely present the history of the ship wreckages that occurred in the study area. This section should introduce the potential of ship wrecks as sources of pollution (see for example, https://doi.org/10.3390/jmse11020276), which should better position your study and justify why you need to report on the study area at this point in time.

4. Thoroughly check the manuscript for typos and grammar. For example, in L157, ''or'' should be ‘‘for’’.

5. Methodology (L156-178) needs to be elaborated. The analytical conditions used should be clearly indicated, including any quality control and quality assurance activities undertaken. See https://doi.org/10.1007%2Fs40201-019-00356-z for a similar reporting.

6. Your study does not have any dedicated section on how the data were analyzed or visualized. I believe that your study could benefit from health risk assessment, which should give a better view as to whether the current pollution levels pose any significant health threats to the local pollution.

7. In Table 3, it is not possible that Pazdro (2004) did their study in 2022. The ‘‘n.d.’’ in this Table should be replaced with the LOD or LOQ. For easy comparison, put the results of your study first, followed by previous studies.

**PeerJ Staff Note:** It is PeerJ policy that additional references suggested during the peer-review process should only be included if the authors agree that they are relevant and useful.

**PeerJ Staff Note:** Please ensure that all review, editorial, and staff comments are addressed in a response letter and that any edits or clarifications mentioned in the letter are also inserted into the revised manuscript where appropriate.",Authentic
Effect of acidity/alkalinity of deep eutectic solvents on the extraction profiles of phenolics and biomolecules in defatted rice bran extract,"This study investigated the influence of deep eutectic solvent (DES) acidity/alkalinity on the extraction profiles of phenolics and other biomolecules (phytic acid, reducing sugar, and protein) in defatted rice bran (DFRB). The DES with varying pH levels were prepared using different hydrogen bond acceptors (choline chloride (ChCl) and potassium carbonate (K2CO3)) and hydrogen bond donors (lactic acid, urea, and glycerol). The results reveal that the acidic DES (ChCl-lactic acid; pH 0.42) demonstrated superior extraction efficiency for total phenolic acids (4.33 mg/g), phytic acid (50.30 mg/g), and reducing sugar (57.05 mg/g) while having the lowest protein content (5.96 mg/g). The alkaline DES (K2CO3-glycerol; pH 11.21) showed the highest levels of total phenolic acid (5.49 mg/g) and protein content (12.81 mg/g), with lower quantities of phytic acid (1.04 mg/g) and reducing sugar (2.28 mg/g). The weakly acidic DES (ChCl-glycerol; pH 4.72) exhibited predominantly total phenolics (3.46 mg/g) with lower content of protein (6.22 mg/g), reducing sugar (1.68 mg/g) and phytic acid (0.20 mg/g). The weakly alkaline DES (ChCl-urea; pH 8.41) resulted in lower extraction yields for total phenolics (2.81 mg/g), protein (7.45 mg/g), phytic acid (0.10 mg/g), and reducing sugar (7.36 mg/g). The study also explored the distribution of phenolics among various DESs, with the alkaline DES (K2CO3-glycerol) containing the highest concentration of free phenolics. Notably, ChCl-based DESs predominantly contained soluble esterified bound phenolics and soluble glycosylated bound phenolics. Furthermore, a significant correlation between antioxidant activities and phenolic contents was observed. In conclusion, this study has revealed that the acidity and alkalinity of a DES significantly impact the extraction of phenolics and other value-added biomolecules in DFRB. These findings highlight the potential for manipulating the properties of DESs through pH variation, making them versatile solvents for extracting and isolating valuable compounds from agricultural by-products like DFRB and offering opportunities for sustainable utilization and value addition in various industries.","Basic reporting
The manuscript presents a thorough investigation into the effect of acidity and alkalinity in deep eutectic solvents (DES) on the extraction of phenolics and other biomolecules from defatted rice bran (DFRB), a by-product of rice bran oil production. The text is well-structured and unveils intriguing findings regarding the utilization of DES for extracting phenolics and other biomolecules from DFRB. However, certain aspects of the study require further clarification and enhancement to elevate the manuscript's quality for publication.

A thorough proofreading is advised to enhance the manuscript’s quality. For example, Section 2.6.2 is missing a subtitle, and in Line 301, 'NR' should be subscripted as 'ENR'.

Experimental design
The rationale behind choosing the four DES (ChCl-lactic acid, K2CO3-glycerol, ChCl-glycerol, and ChCl-urea) needs to be explicitly delineated. Are there other DES that could have been considered? A comparative analysis regarding the cost, availability, environmental impact, and biocompatibility of these DES compared to conventional solvents would provide a more comprehensive understanding.

More granular information on the analysis of the phenolic extracts is desired. It is advisable to include data on the replicates for each extraction experiment and to report the standard deviation or standard error of the mean for all data exhibited in tables and figures.

Validity of the findings
A more in-depth exploration of the extraction mechanism of phenolics and other biomolecules by the DES is necessary. The impact of the pH environment of the DES on the solubility and stability of the extracted compounds should be discussed. Additionally, elucidating the interactions between the DES and DFRB components, along with the effect of extraction time and temperature on the yield and quality, would be beneficial.

A discussion on the molecular interactions that might account for the differential extraction efficiency observed would be insightful. This aspect could significantly enrich the manuscript.

Investigating and discussing the effect of DES composition on the stability and functionality of the extracted biomolecules, particularly focusing on proteins and phenolics, would be worthwhile.",Authentic
